      2.00000000e+00      -4.58913172e+02      -6.26373878e+02       1.67460706e+02
      2.10000000e+00      -4.58912977e+02      -6.24823531e+02       1.65910554e+02
      2.20000000e+00      -4.58915283e+02      -6.27043679e+02       1.68128396e+02
      2.30000000e+00      -4.58913973e+02      -6.19286612e+02       1.60372639e+02
      2.40000000e+00      -4.58913440e+02      -6.12298103e+02       1.53384663e+02
      2.50000000e+00      -4.58915001e+02      -6.27071059e+02       1.68156058e+02
      2.60000000e+00      -4.58916937e+02      -6.23144608e+02       1.64227670e+02
      2.70000000e+00      -4.58916152e+02      -6.40188924e+02       1.81272772e+02
      2.80000000e+00      -4.58915674e+02      -6.17412311e+02       1.58496637e+02
      2.90000000e+00      -4.58914499e+02      -6.24175032e+02       1.65260533e+02
      3.00000000e+00      -4.58916247e+02      -6.38036010e+02       1.79119763e+02
      3.10000000e+00      -4.58916411e+02      -6.34350755e+02       1.75434344e+02
      3.20000000e+00      -4.58917676e+02      -6.28823970e+02       1.69906293e+02
      3.30000000e+00      -4.58915547e+02      -6.17581102e+02       1.58665555e+02
      3.40000000e+00      -4.58914490e+02      -6.05979195e+02       1.47064705e+02
      3.50000000e+00      -4.58914694e+02      -6.24082862e+02       1.65168167e+02
      3.60000000e+00      -4.58916694e+02      -6.31408427e+02       1.72491733e+02
      3.70000000e+00      -4.58917129e+02      -6.35010975e+02       1.76093845e+02
      3.80000000e+00      -4.58915526e+02      -6.16823445e+02       1.57907919e+02
      3.90000000e+00      -4.58914533e+02      -6.07390307e+02       1.48475774e+02
      4.00000000e+00      -4.58914960e+02      -6.23313151e+02       1.64398192e+02
      4.10000000e+00      -4.58917639e+02      -6.41200612e+02       1.82282972e+02
      4.20000000e+00      -4.58917664e+02      -6.29528021e+02       1.70610357e+02
      4.30000000e+00      -4.58915945e+02      -6.19213468e+02       1.60297522e+02
      4.40000000e+00      -4.58918234e+02      -6.24783231e+02       1.65864997e+02
      4.50000000e+00      -4.58914990e+02      -6.12608704e+02       1.53693715e+02
      4.60000000e+00      -4.58916380e+02      -6.30859865e+02       1.71943485e+02
      4.70000000e+00      -4.58915868e+02      -6.25573605e+02       1.66657737e+02
      4.80000000e+00      -4.58917700e+02      -6.12846146e+02       1.53928446e+02
      4.90000000e+00      -4.58916787e+02      -6.27756145e+02       1.68839358e+02
      5.00000000e+00      -4.58917380e+02      -6.21969690e+02       1.63052310e+02
      5.10000000e+00      -4.58919676e+02      -6.31032860e+02       1.72113183e+02
      5.20000000e+00      -4.58918219e+02      -6.20622119e+02       1.61703901e+02
      5.30000000e+00      -4.58916025e+02      -6.26489788e+02       1.67573763e+02
