      4.90000000e+00       4.99999879e-01       1.73934694e-02       4.82606410e-01       1.86512570e-01       9.82452452e-01
      5.00000000e+00       4.99999885e-01       4.02321744e-02       4.59767711e-01       2.83662385e-01       9.58924096e-01
      5.10000000e+00       4.99999893e-01       7.14336614e-02       4.28566232e-01       3.77977939e-01       9.25814486e-01
      5.20000000e+00       4.99999902e-01       1.09754025e-01       3.90245877e-01       4.68516863e-01       8.83454444e-01
      5.30000000e+00       4.99999913e-01       1.53665554e-01       3.46334359e-01       5.54374520e-01       8.32267216e-01
      5.40000000e+00       4.99999925e-01       2.01417634e-01       2.98582292e-01       6.34693050e-01       7.72764248e-01
      5.50000000e+00       4.99999938e-01       2.51106539e-01       2.48893399e-01       7.08669936e-01       7.05540075e-01
      5.60000000e+00       4.99999950e-01       3.00751330e-01       1.99248620e-01       7.75566026e-01       6.31266378e-01
      5.70000000e+00       4.99999962e-01       3.48372826e-01       1.51627136e-01       8.34712916e-01       5.50685276e-01
      5.80000000e+00       4.99999973e-01       3.92072507e-01       1.07927466e-01       8.85519629e-01       4.64601907e-01
      5.90000000e+00       4.99999983e-01       4.30108205e-01       6.98917775e-02       9.27478523e-01       3.73876390e-01
      6.00000000e+00       4.99999990e-01       4.60963557e-01       3.90364335e-02       9.60170357e-01       2.79415223e-01
      6.10000000e+00       4.99999996e-01       4.83408457e-01       1.65915393e-02       9.83268485e-01       1.82162232e-01
      6.20000000e+00       4.99999999e-01       4.96548097e-01       3.45190218e-03       9.96542118e-01       8.30891350e-02
      6.30000000e+00       5.00000000e-01       4.99858642e-01       1.41358002e-04       9.99858632e-01      -1.68141608e-02
      6.40000000e+00       4.99999998e-01       4.93208111e-01       6.79188775e-03       9.93184888e-01      -1.16549455e-01
      6.50000000e+00       4.99999994e-01       4.76861638e-01       2.31383558e-02       9.76587567e-01      -2.15120226e-01
      6.60000000e+00       4.99999988e-01       4.51470908e-01       4.85290799e-02       9.50232506e-01      -3.11541586e-01
      6.70000000e+00       4.99999980e-01       4.18048168e-01       8.19518120e-02       9.14383035e-01      -4.04850125e-01
      6.80000000e+00       4.99999969e-01       3.77925876e-01       1.22074093e-01       8.69397350e-01      -4.94113536e-01
      6.90000000e+00       4.99999958e-01       3.32703584e-01       1.67296374e-01       8.15724934e-01      -5.78439927e-01
      7.00000000e+00       4.99999946e-01       2.84184160e-01       2.15815786e-01       7.53902063e-01      -6.56986736e-01
      7.10000000e+00       4.99999934e-01       2.34301922e-01       2.65698012e-01       6.84546451e-01      -7.28969152e-01
      7.20000000e+00       4.99999921e-01       1.85045516e-01       3.14954405e-01       6.08351076e-01      -7.93667947e-01
      7.30000000e+00       4.99999910e-01       1.38378641e-01       3.61621269e-01       5.26077259e-01      -8.50436674e-01
      7.40000000e+00       4.99999899e-01       9.61617577e-02       4.03838141e-01       4.38547050e-01      -8.98708119e-01
      7.50000000e+00       4.99999890e-01       6.00779202e-02       4.39921970e-01       3.46635025e-01      -9.37999968e-01
      7.60000000e+00       4.99999883e-01       3.15656772e-02       4.68434206e-01       2.51259536e-01      -9.67919631e-01
      7.70000000e+00       4.99999878e-01       1.17617222e-02       4.88238156e-01       1.53373545e-01      -9.88168160e-01
      7.80000000e+00       4.99999875e-01       1.45557619e-03       4.98544299e-01       5.39550960e-02      -9.98543238e-01
      7.90000000e+00       4.99999875e-01       1.05811291e-03       4.98941762e-01      -4.60024545e-02      -9.98941202e-01
      8.00000000e+00       4.99999878e-01       1.05851779e-02       4.89414700e-01      -1.45500364e-01      -9.89358074e-01
      8.10000000e+00       4.99999882e-01       2.96569571e-02       4.70342925e-01      -2.43544481e-01      -9.69889607e-01
      8.20000000e+00       4.99999889e-01       5.75131189e-02       4.42486771e-01      -3.39155182e-01      -9.40730323e-01
      8.30000000e+00       4.99999898e-01       9.30431258e-02       4.06956772e-01      -4.31377157e-01      -9.02171572e-01
      8.40000000e+00       4.99999909e-01       1.34830508e-01       3.65169400e-01      -5.19288953e-01      -8.54598620e-01
      8.50000000e+00       4.99999920e-01       1.81209336e-01       3.18790585e-01      -6.02012185e-01      -7.98486800e-01
      8.60000000e+00       4.99999933e-01       2.30330630e-01       2.69669303e-01      -6.78720310e-01      -7.34396763e-01
      8.70000000e+00       4.99999945e-01       2.80236080e-01       2.19763865e-01      -7.48646886e-01      -6.62968876e-01
      8.80000000e+00       4.99999957e-01       3.28936113e-01       1.71063845e-01      -8.11093229e-01      -5.84916822e-01
      8.90000000e+00       4.99999969e-01       3.74489211e-01       1.25510757e-01      -8.65435395e-01      -5.01020473e-01
      9.00000000e+00       4.99999979e-01       4.15079318e-01       8.49206609e-02      -9.11130416e-01      -4.12118092e-01
      9.10000000e+00       4.99999987e-01       4.49088232e-01       5.09117550e-02      -9.47721723e-01      -3.19097963e-01
      9.20000000e+00       4.99999994e-01       4.75160126e-01       2.48398674e-02      -9.74843707e-01      -2.22889513e-01
      9.30000000e+00       4.99999998e-01       4.92255596e-01       7.74440198e-03      -9.92225374e-01      -1.24454023e-01
      9.40000000e+00       5.00000000e-01       4.99693099e-01       3.06901076e-04      -9.99693052e-01      -2.47750308e-02
      9.50000000e+00       4.99999999e-01       4.97176125e-01       2.82387441e-03      -9.97172126e-01       7.51515058e-02
      9.60000000e+00       4.99999996e-01       4.84805018e-01       1.51949782e-02      -9.84687786e-01       1.74327153e-01
      9.70000000e+00       4.99999991e-01       4.63072975e-01       3.69270155e-02      -9.62364770e-01       2.71760981e-01
      9.80000000e+00       4.99999983e-01       4.32846385e-01       6.71535985e-02      -9.30426122e-01       3.66479463e-01
      9.90000000e+00       4.99999974e-01       3.95330285e-01       1.04669689e-01      -8.89190964e-01       4.57536203e-01
      1.00000000e+01       4.99999963e-01       3.52020325e-01       1.47979638e-01      -8.39071302e-01       5.44021392e-01
      1.01000000e+01       4.99999951e-01       3.04643137e-01       1.95356815e-01      -7.80567917e-01       6.25070899e-01
      1.02000000e+01       4.99999939e-01       2.55087498e-01       2.44912440e-01      -7.14265355e-01       6.99874904e-01
      1.03000000e+01       4.99999926e-01       2.05329038e-01       2.94670889e-01      -6.40826088e-01       7.67685989e-01
      1.04000000e+01       4.99999914e-01       1.57351467e-01       3.42648447e-01      -5.60983899e-01       8.27826609e-01
      1.05000000e+01       4.99999903e-01       1.13067502e-01       3.86932401e-01      -4.75536543e-01       8.79695858e-01
      1.06000000e+01       4.99999894e-01       7.42426036e-02       4.25757290e-01      -3.85337783e-01       9.22775476e-01
      1.07000000e+01       4.99999886e-01       4.24245986e-02       4.57575287e-01      -2.91288855e-01       9.56635027e-01
      1.08000000e+01       4.99999880e-01       1.88819705e-02       4.81117909e-01      -1.94329465e-01       9.80936195e-01
      1.09000000e+01       4.99999876e-01       4.55328966e-03       4.95446586e-01      -9.54283989e-02       9.95436172e-01
      1.10000000e+01       4.99999875e-01       9.79542987e-06       4.99990080e-01       4.42615632e-03       9.99990080e-01
      1.11000000e+01       4.99999876e-01       5.43262260e-03       4.94567254e-01       1.04236487e-01       9.94552416e-01
      1.12000000e+01       4.99999880e-01       2.06055801e-02       4.79394300e-01       2.03005321e-01       9.79177512e-01
      1.13000000e+01       4.99999886e-01       4.49237700e-02       4.55076116e-01       2.99745792e-01       9.54018990e-01
      1.14000000e+01       4.99999894e-01       7.74177028e-02       4.22582192e-01       3.93491303e-01       9.19328224e-01
      1.15000000e+01       4.99999904e-01       1.16791948e-01       3.83207957e-01       4.83305178e-01       8.75451834e-01
      1.16000000e+01       4.99999915e-01       1.61476778e-01       3.38523138e-01       5.68290027e-01       8.22828217e-01
      1.17000000e+01       4.99999927e-01       2.09690749e-01       2.90309178e-01       6.47596710e-01       7.61983173e-01
      1.18000000e+01       4.99999940e-01       2.59511724e-01       2.40488216e-01       7.20432820e-01       6.93524644e-01
      1.19000000e+01       4.99999952e-01       3.08953496e-01       1.91046456e-01       7.86070603e-01       6.18136645e-01
      1.20000000e+01       4.99999964e-01       3.56044978e-01       1.43954986e-01       8.43854227e-01       5.36572429e-01
      1.21000000e+01       4.99999975e-01       3.98908781e-01       1.01091193e-01       8.93206338e-01       4.49646958e-01
      1.22000000e+01       4.99999984e-01       4.35836061e-01       6.41639233e-02       9.33633826e-01       3.58228763e-01
      1.23000000e+01       4.99999991e-01       4.65354642e-01       3.46453492e-02       9.64732753e-01       2.63231264e-01
      1.24000000e+01       4.99999997e-01       4.86287713e-01       1.37122837e-02       9.86192388e-01       1.65603645e-01
      1.25000000e+01       4.99999999e-01       4.97800737e-01       2.19926202e-03       9.97798314e-01       6.63213694e-02
      1.26000000e+01       5.00000000e-01       4.99434728e-01       5.65272153e-04       9.99434568e-01      -3.36235677e-02
      1.27000000e+01       4.99999998e-01       4.91124542e-01       8.87545609e-03       9.91084801e-01      -1.33232549e-01
      1.28000000e+01       4.99999993e-01       4.73201480e-01       2.67985130e-02       9.72832442e-01      -2.31510315e-01
      1.29000000e+01       4.99999987e-01       4.46380080e-01       5.36199071e-02       9.44859862e-01      -3.27474906e-01
      1.30000000e+01       4.99999978e-01       4.11729624e-01       8.82703539e-02       9.07446554e-01      -4.20167476e-01
      1.31000000e+01       4.99999968e-01       3.70631518e-01       1.29368449e-01       8.60966339e-01      -5.08661871e-01
      1.32000000e+01       4.99999956e-01       3.24724214e-01       1.75275742e-01       8.05883632e-01      -5.92073884e-01
      1.33000000e+01       4.99999944e-01       2.75837891e-01       2.24162053e-01       7.42748802e-01      -6.69570090e-01
      1.34000000e+01       4.99999931e-01       2.25921493e-01       2.74078439e-01       6.72192670e-01      -7.40376173e-01
      1.35000000e+01       4.99999919e-01       1.76965029e-01       3.23034890e-01       5.94920211e-01      -8.03784661e-01
      1.36000000e+01       4.99999908e-01       1.30920239e-01       3.69079669e-01       5.11703506e-01      -8.59161997e-01
      1.37000000e+01       4.99999897e-01       8.96227835e-02       4.10377114e-01       4.23374027e-01      -9.05954871e-01
