        -0.1428         0.0027         0.0027
        -0.1398         0.0010         0.0010
        -0.1369         0.0007         0.0007
        -0.1339         0.0000         0.0000
        -0.1310         0.0017         0.0011
        -0.1280         0.0014         0.0008
        -0.1251         0.0034         0.0009
        -0.1222         0.0034         0.0012
        -0.1192         0.0061         0.0032
        -0.1163         0.0129         0.0033
        -0.1133         0.0129         0.0021
        -0.1104         0.0214         0.0039
        -0.1075         0.0360         0.0084
        -0.1045         0.0428         0.0060
        -0.1016         0.0714         0.0109
        -0.0986         0.0908         0.0124
        -0.0957         0.1119         0.0094
        -0.0928         0.1452         0.0137
        -0.0898         0.1914         0.0013
        -0.0869         0.2612         0.0117
        -0.0839         0.3390         0.0152
        -0.0810         0.4329         0.0266
        -0.0781         0.5325         0.0264
        -0.0751         0.6743         0.0243
        -0.0722         0.8277         0.0504
        -0.0692         1.0722         0.0480
        -0.0663         1.3102         0.0547
        -0.0634         1.6561         0.0479
        -0.0604         1.9788         0.0437
        -0.0575         2.3719         0.0389
        -0.0545         2.7793         0.0587
        -0.0516         3.2859         0.0754
        -0.0486         3.8117         0.0790
        -0.0457         4.3425         0.0490
        -0.0428         5.0862         0.0624
        -0.0398         5.7408         0.0503
        -0.0369         6.3274         0.0907
        -0.0339         7.0473         0.1015
        -0.0310         7.8250         0.1469
        -0.0281         8.5846         0.1004
        -0.0251         9.2892         0.1033
        -0.0222         9.8938         0.0573
        -0.0192        10.5777         0.1162
        -0.0163        11.3503         0.1024
        -0.0134        11.8750         0.0848
        -0.0104        12.2674         0.1151
        -0.0075        12.5235         0.1488
        -0.0045        12.8095         0.1341
        -0.0016        12.9979         0.1716
         0.0013        13.0183         0.0944
         0.0043        12.9377         0.0652
         0.0072        12.6167         0.1173
         0.0102        12.2970         0.0546
         0.0131        11.8274         0.1486
         0.0160        11.2303         0.0589
         0.0190        10.6212         0.0964
         0.0219         9.9874         0.1250
         0.0249         9.2824         0.0387
         0.0278         8.6054         0.0939
         0.0307         7.8352         0.0713
         0.0337         6.9520         0.1181
         0.0366         6.2828         0.1057
         0.0396         5.6133         0.0785
         0.0425         4.9784         0.0630
         0.0455         4.2979         0.0784
         0.0484         3.6651         0.0700
         0.0513         3.1877         0.0605
         0.0543         2.7204         0.0824
         0.0572         2.2947         0.0391
         0.0602         1.9553         0.0328
         0.0631         1.5438         0.0378
         0.0660         1.2398         0.0529
         0.0690         0.9630         0.0418
         0.0719         0.7695         0.0460
         0.0749         0.5941         0.0294
         0.0778         0.4734         0.0184
         0.0807         0.3853         0.0206
         0.0837         0.3088         0.0193
         0.0866         0.2275         0.0083
         0.0896         0.1993         0.0228
         0.0925         0.1438         0.0142
         0.0954         0.0976         0.0114
         0.0984         0.0792         0.0137
         0.1013         0.0466         0.0076
         0.1043         0.0452         0.0084
         0.1072         0.0299         0.0044
         0.1101         0.0245         0.0049
         0.1131         0.0146         0.0036
         0.1160         0.0102         0.0009
         0.1190         0.0054         0.0012
         0.1219         0.0061         0.0016
         0.1249         0.0054         0.0019
         0.1278         0.0010         0.0007
         0.1307         0.0003         0.0003
         0.1337         0.0003         0.0003
         0.1366         0.0003         0.0003
         0.1396         0.0003         0.0003
         0.1425         0.0007         0.0007
         0.1454         0.0003         0.0003
         0.1484         0.0014         0.0014
