        -0.1441         0.0010         0.0007
        -0.1411         0.0003         0.0003
        -0.1381         0.0003         0.0003
        -0.1351         0.0023         0.0014
        -0.1321         0.0003         0.0003
        -0.1290         0.0003         0.0003
        -0.1260         0.0023         0.0011
        -0.1230         0.0063         0.0029
        -0.1200         0.0100         0.0027
        -0.1170         0.0163         0.0041
        -0.1140         0.0166         0.0039
        -0.1110         0.0193         0.0049
        -0.1080         0.0273         0.0037
        -0.1050         0.0389         0.0027
        -0.1020         0.0598         0.0074
        -0.0990         0.0705         0.0160
        -0.0959         0.1117         0.0080
        -0.0929         0.1329         0.0138
        -0.0899         0.1828         0.0121
        -0.0869         0.2114         0.0195
        -0.0839         0.2961         0.0135
        -0.0809         0.4124         0.0218
        -0.0779         0.5361         0.0263
        -0.0749         0.6826         0.0198
        -0.0719         0.8049         0.0443
        -0.0689         1.0964         0.0265
        -0.0659         1.2782         0.0382
        -0.0628         1.6261         0.0144
        -0.0598         1.9076         0.0347
        -0.0568         2.3742         0.0390
        -0.0538         2.7102         0.0379
        -0.0508         3.2137         0.0305
        -0.0478         3.9235         0.0656
        -0.0448         4.4390         0.0561
        -0.0418         5.1974         0.0614
        -0.0388         5.9431         0.0856
        -0.0358         6.7194         0.0649
        -0.0328         7.3834         0.0916
        -0.0297         8.0245         0.0661
        -0.0267         8.7613         0.0374
        -0.0237         9.4801         0.1038
        -0.0207        10.4914         0.1069
        -0.0177        11.0042         0.1138
        -0.0147        11.4063         0.0935
        -0.0117        12.0986         0.0702
        -0.0087        12.4529         0.0605
        -0.0057        12.7526         0.0362
        -0.0027        13.0953         0.1189
         0.0003        12.8816         0.1215
         0.0034        12.9115         0.1044
         0.0064        12.6047         0.0789
         0.0094        12.4087         0.0362
         0.0124        11.9786         0.0570
         0.0154        11.3688         0.0838
         0.0184        10.8733         0.1076
         0.0214        10.1870         0.0900
         0.0244         9.4113         0.0480
         0.0274         8.7726         0.0689
         0.0304         7.9434         0.0711
         0.0334         7.2189         0.1086
         0.0365         6.3496         0.0563
         0.0395         5.6779         0.0439
         0.0425         4.9132         0.0954
         0.0455         4.4250         0.0568
         0.0485         3.7816         0.0405
         0.0515         3.2552         0.0387
         0.0545         2.7444         0.0377
         0.0575         2.2512         0.0335
         0.0605         1.8913         0.0427
         0.0635         1.5706         0.0287
         0.0665         1.2662         0.0370
         0.0696         1.0080         0.0209
         0.0726         0.8265         0.0207
         0.0756         0.6610         0.0183
         0.0786         0.5028         0.0327
         0.0816         0.4031         0.0330
         0.0846         0.3124         0.0108
         0.0876         0.2466         0.0190
         0.0906         0.1662         0.0054
         0.0936         0.1409         0.0110
         0.0966         0.1014         0.0064
         0.0996         0.0801         0.0109
         0.1027         0.0528         0.0068
         0.1057         0.0382         0.0053
         0.1087         0.0243         0.0031
         0.1117         0.0183         0.0025
         0.1147         0.0130         0.0035
         0.1177         0.0073         0.0012
         0.1207         0.0083         0.0021
         0.1237         0.0027         0.0011
         0.1267         0.0027         0.0012
         0.1297         0.0056         0.0019
         0.1327         0.0000         0.0000
         0.1358         0.0003         0.0003
         0.1388         0.0000         0.0000
         0.1418         0.0017         0.0013
         0.1448         0.0000         0.0000
         0.1478         0.0000         0.0000
         0.1508         0.0000         0.0000
         0.1538         0.0003         0.0003
